,kGraph,SPF,kShape,kMeans,Time2Feat,DTC,Reservoir,Affinity,Agglomerative,BIRCH,DBSCAN,Gauss.-Mixt.,HDBSCAN,MeanShift,MB-KMeans,OPTICS,Spectral,Ward,Train Size,Test Size,Length,No. of Classes,Type
CricketX,0.8671617129126756,0.8657371383430433,0.8682446265758204,0.860161943319838,0.8457437214048253,0.7461033760135173,0.4904874757249597,0.917958592541391,0.1099239656364175,0.8589743589743589,0.0821566110397946,0.8475856620914387,0.5148480958493795,0.0821566110397946,0.8584345479082321,0.0821566110397946,0.8585695006747638,0.8567657417464863,390,390,300,12,MOTION
SonyAIBORobotSurface1,0.5084868318528908,0.7110113760324139,0.6548792270531401,0.6632715183626825,0.7264121344345749,0.5986996346510137,0.6587346111890291,0.5306789257700899,0.506113968105553,0.5031219157446366,0.5068931484078749,0.7680432185341022,0.5068931484078749,0.5068931484078749,0.5018232819074334,0.7680432185341022,0.5031219157446366,0.5031219157446366,20,601,70,2,SENSOR
ToeSegmentation1,0.6530269998322991,0.6067136228967522,0.5044720219129075,0.4982726815361396,0.49856895298786963,0.5028322805448414,0.5274284010658318,0.504080719995528,0.4994968975347979,0.5044161216389961,0.4991335457543742,0.4985745430152608,0.5148415227234614,0.4991335457543742,0.4994968975347979,0.4991335457543742,0.5015093073956063,0.5036055676672816,40,228,277,2,MOTION
ScreenType,0.5642702269692923,0.564844859813084,0.5596767245215843,0.5613422340898977,0.4590782376502003,0.5979445186174158,0.3973202788903724,0.6673573653760569,0.3342340898976413,0.5576217178460169,0.3324432576769025,0.5613742768135291,0.3630761014686248,0.3324432576769025,0.561915442812639,0.3324432576769025,0.4886586559857588,0.5519964396973743,375,375,720,3,DEVICE
MoteStrain,0.7289929189614477,0.7060807367051151,0.8034643152274494,0.6977816704521276,0.5788118106378872,0.6614214529242067,0.650229189449533,0.5144565018382989,0.5024568383237089,0.665320725027092,0.5025768349588547,0.548105042827665,0.5004181326049414,0.5052909856548352,0.6945813478219992,0.5025768349588547,0.8039477655884288,0.6102026829763124,20,1252,84,2,SENSOR
ECGFiveDays,0.5188144078957483,0.582857186780976,0.8919874143576763,0.500099926720405,0.5009741574127691,0.5804196580627198,0.6030611739425277,0.5192422992369699,0.4994363108079716,0.5058393075846943,0.4994337485843714,0.5414132200488873,0.499443997478772,0.4994337485843714,0.5266163787581415,0.7075503605048605,0.7149167533552319,0.5022240100849121,23,861,136,2,ECG
Wine,0.5236691236691237,0.4979852579852579,0.4964782964782965,0.4964782964782965,0.5068959868959869,0.49571389571389574,0.4958230958230958,0.5207207207207207,0.4987714987714988,0.5046683046683047,0.4958230958230958,0.4954954954954955,0.5207207207207207,0.4958230958230958,0.4987714987714988,0.5253071253071253,0.4958230958230958,0.4958230958230958,57,54,234,2,SPECTRO
SemgHandMovementCh2,0.7268154739834383,0.7545143987146211,0.3968730688419232,0.738421950315165,0.6781762452107281,0.7035768137436658,0.1657397107897664,0.833812878506983,0.1731726609813373,0.6459448770238536,0.1657397107897664,0.7203534791743913,0.4831120998640464,0.1657397107897664,0.6724385119268322,0.1657397107897664,0.6103028055864541,0.6608132492893338,450,450,1500,6,SPECTRO
FreezerSmallTrain,0.9184025228967225,0.6695336694200463,0.6387563487272836,0.6449046051415904,0.5276506804463669,0.5750131098938818,0.4998601047712606,0.5294795680099749,0.4999431159832493,0.6222763606693038,0.4998262078554049,0.6375133061497782,0.504376929195462,0.4998262078554049,0.6452792425512736,0.6034270989658703,0.499855434887366,0.6367848042622192,28,2850,301,2,SENSOR
UWaveGestureLibraryZ,0.8034446717543879,0.8413434433329681,0.8513210540739063,0.8440590849783266,0.7943596385595655,0.8154632435764434,0.6409210970906533,0.8760798455467341,0.127149602808379,0.8390230928701837,0.124804631443147,0.7850093420762144,0.5059660297388179,0.124804631443147,0.8434068704887658,0.124804631443147,0.8481206559894285,0.8462866581344798,896,3582,315,8,MOTION
NonInvasiveFetalECGThorax1,0.966801331690595,0.9680541595573072,0.9691543708270002,0.9698380265688927,0.9558947349108703,0.7588088547921902,0.072647372489026,0.9770712403662009,0.0473122741058437,0.9611637756448524,0.0236129516648249,0.9677821480637844,0.1988973613163357,0.0236129516648249,0.9672210202759632,0.0236129516648249,0.9678290027985824,0.967938095298579,1800,1965,750,42,ECG
Lightning7,0.7866443415739189,0.8040520043336945,0.8225352112676056,0.79407071801438,0.7901506943760465,0.7397485143964017,0.3235168587281263,0.8439869989165764,0.3615680094553334,0.8258642765685019,0.1566039594208608,0.7862700679602088,0.20762336255294,0.1566039594208608,0.8183788042942972,0.5005417118093174,0.8268492071308973,0.8311829016054368,70,73,319,7,SENSOR
Phoneme,0.9217225207247658,0.9300419102065398,0.9282356140126158,0.9101446070665327,0.9275141741891554,0.0818115696140141,0.6598928686731131,0.9522533758502828,0.0821080496810105,0.8015510147213813,0.0477461747105049,0.906406531250632,0.0808001815734417,0.0477461747105049,0.9040770878136803,0.0477461747105049,0.8988393232344343,0.8435897608758671,214,1896,1024,39,SOUND
SemgHandSubjectCh2,0.7164652082560871,0.7323742429860339,0.39889457421826724,0.7270443702879742,0.6946641947843284,0.7296494046883368,0.1991101223581757,0.7989593375355333,0.2044592757384748,0.610690891113583,0.1991101223581757,0.619475960944259,0.4707428006426894,0.1991101223581757,0.6066988011370659,0.1991101223581757,0.5706760598195526,0.6290001235941169,450,450,1500,5,SPECTRO
MiddlePhalanxOutlineAgeGroup,0.7311455076021177,0.7022463621467414,0.733123559710408,0.7330961411663326,0.7294024715859017,0.5204692487971746,0.4340464330867841,0.6684902174551675,0.3847343991748324,0.7346994731722603,0.382168806836357,0.7340205377951574,0.4117808344376913,0.382168806836357,0.738642520939281,0.6947924350931252,0.7332763201702561,0.7382312427781513,400,154,80,3,IMAGE
DistalPhalanxOutlineCorrect,0.49943118069145476,0.5001555120678407,0.49945570776255704,0.49943587736464445,0.5039097195042401,0.5385283757338551,0.4987101543813872,0.5064892367906066,0.5265753424657534,0.5024448793215917,0.5260456621004567,0.5030006523157208,0.5303770384866275,0.5260456621004567,0.5003705153294195,0.5260456621004567,0.5017769080234834,0.5022700587084149,600,276,80,2,IMAGE
DistalPhalanxTW,0.7633108261892118,0.7415067142098476,0.851983916243077,0.8503451938396175,0.7478257271140967,0.614578376129093,0.7590563092421828,0.7591643619259126,0.3101502851901152,0.8690539412791138,0.2968115262326627,0.8105882434082116,0.5672972805208599,0.2968115262326627,0.7979460794118256,0.7877937251277666,0.6929257678062777,0.8797097750894883,400,139,80,6,IMAGE
FacesUCR,0.9152394446914679,0.9405174052665384,0.9101863346672594,0.8805373647547057,0.8718568450175386,0.7538346919618596,0.8399606080068508,0.9201161997925004,0.1041126426559952,0.8874375771948027,0.0846495726495726,0.8725173657427993,0.3883721160021738,0.0846495726495726,0.8699645274442962,0.0846495726495726,0.8598523788350378,0.8903915814436045,200,2050,131,14,IMAGE
GunPointMaleVersusFemale,0.8577068243409707,0.6839103227395911,0.5004286770140429,0.49977827050997786,0.5329214092140921,0.5926385809312639,0.5001921655580193,0.573550135501355,0.6170485341217049,0.6170485341217049,0.5001921655580193,0.6170485341217049,0.5517910815471792,0.5001921655580193,0.6170485341217049,0.5832076866223208,0.5230352303523035,0.6170485341217049,135,316,150,2,MOTION
Coffee,0.8848051948051948,0.8285714285714285,0.7541558441558441,0.7603896103896103,0.7457142857142857,0.549134199134199,0.4915584415584416,0.5616883116883117,0.4935064935064935,0.4915584415584416,0.4915584415584416,0.5071428571428571,0.4967532467532468,0.4915584415584416,0.8051948051948052,0.8051948051948052,0.8344155844155844,0.4915584415584416,28,28,286,2,SPECTRO
MixedShapesSmallTrain,0.8019227063752334,0.7811420501796615,0.7867038646812384,0.8162487329557045,0.6965692677033155,0.8250478835522221,0.6279027997886951,0.791535987196184,0.2128835260705151,0.8647022642042335,0.2110175581742009,0.8148574477099056,0.4152126908411919,0.2110175581742009,0.7836104878316674,0.4079415041345656,0.8347027349327643,0.8430449859565988,100,2425,1024,5,IMAGE
FordB,0.5862968141128108,0.5009715688372962,0.5142523176505771,0.5001276459875715,0.5089967195396122,0.5005641838629821,0.5005453265710207,0.4999671599754484,0.5000260594955995,0.5000045034856473,0.5000336496399489,0.5439710724418557,0.4998891332915369,0.5000336496399489,0.5001507402667784,0.5000336496399489,0.4999612902638182,0.5002163191139569,3636,810,500,2,SENSOR
InsectWingbeatSound,0.8700536607548888,0.8783370126917193,0.859615610401422,0.8884273016660466,0.8356844020009095,0.8241901966458584,0.0904956798544793,0.9099888379015256,0.0979242630947951,0.8899727148703956,0.0904956798544793,0.8904253999751953,0.4802831865724089,0.091983959651081,0.8693480507668775,0.0904956798544793,0.890998387696887,0.8778188432758692,2200,2200,256,11,AUDIO
MedicalImages,0.6786869013023356,0.6758740409305473,0.6760302596983255,0.6669114504051541,0.6761311253594108,0.5424650583514,0.4050950484595947,0.6978812060826914,0.3130064424865845,0.6549302704614296,0.3019358211479619,0.6696772606362532,0.4441394898288666,0.3022587142703384,0.6424696711102911,0.3022587142703384,0.5657548779925273,0.6616848870642865,381,760,99,10,IMAGE
Symbols,0.9255383016798475,0.9708049029228965,0.8853489580326734,0.8764767457522755,0.9130901114125729,0.8995041916014034,0.6637033616194269,0.8668167561430853,0.6136793088187189,0.8970251496084204,0.179662875945275,0.8974908118301295,0.8857222574996633,0.1662221709095807,0.7858377109430622,0.8863610998864708,0.8997229117358425,0.8926186765186939,25,995,398,6,IMAGE
ArrowHead,0.6256826901376664,0.644703227262469,0.623660573234033,0.5734326337169939,0.5315820356578651,0.660738734672384,0.4612051455653351,0.7001128413450688,0.3446174678402166,0.590611600090273,0.3340103814037463,0.6040171518844505,0.5557210561949898,0.3340103814037463,0.6334461746784021,0.4516361995034981,0.606093432633717,0.5698487925976078,36,175,251,3,IMAGE
ProximalPhalanxOutlineAgeGroup,0.7988495429916261,0.677063105467681,0.7438038421542336,0.7257030266542609,0.7738569317497674,0.5991845000273658,0.5158575520405743,0.6445186360899786,0.3905752285041869,0.7878879098024192,0.3895955339061901,0.7826774670242461,0.3941382518745553,0.3895955339061901,0.6906463795085107,0.7678780581248974,0.6908051009796946,0.7852389031799025,400,205,80,3,IMAGE
EOGHorizontalSignal,0.8648961127285787,0.8673116159647876,0.8494326127323996,0.8664817404461154,0.8505100754223882,0.7767372493880368,0.5327008652815031,0.9179332584458556,0.1096184559424741,0.797819093250193,0.082074383133506,0.8552264582043817,0.5116457669471126,0.082074383133506,0.8644689484422641,0.082074383133506,0.8453764624072503,0.8337459786188609,362,362,1250,12,EOG
TwoPatterns,0.7916353350670134,0.6906350710142029,0.6798604520904181,0.6297322344468894,0.5931928145629126,0.6501700073348003,0.7162298593051943,0.7517056211242249,0.250682376475295,0.601524624924985,0.2500726545309061,0.6229532306461292,0.2635337467493499,0.2500726545309061,0.6357956391278256,0.2500726545309061,0.5931560712142429,0.6319855971194239,1000,4000,128,4,SIMULATED
ChlorineConcentration,0.5299992418826717,0.5355776913353876,0.5267074382093937,0.5269526886259,0.5295869468372111,0.5357282651554357,0.399519096953932,0.6035476655755744,0.397081474750649,0.5191709323797087,0.3945845403808553,0.5352231771241386,0.5992766503852972,0.3945845403808553,0.5290674369627598,0.4011259174648556,0.5202754327604389,0.4274262261792903,467,3840,166,3,SIMULATED
Plane,0.9925814536340851,0.9937115516062884,0.9305263157894738,0.9271086807928913,0.8633766233766232,0.8548492443229286,0.138755980861244,0.9630439735702894,0.91328320802005,0.9487810435178856,0.138755980861244,0.9515607199817726,0.964638869902028,0.138755980861244,0.9064479380268854,0.9789929368876736,0.9774436090225564,0.9542492595124176,105,105,144,7,SENSOR
